pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2026-01-01,"A Hierarchical Control Architecture for Humanoid Loco-Manipulation with Pre-IK Residual RL","52nd International Conference on Systems Engineering (ICSEng), Las Vegas, NV, USA, Springer LNNS",Accepted.,"Kim, B., &amp; Oh, P. (2026). &quot;A Hierarchical Control Architecture for Humanoid Loco-Manipulation with Pre-IK Residual RL.&quot; <i>ICSEng</i>.",hierarchical-control-humanoid-loco-manipulation-pre-ik-residual-rl,,,conferences
2026-05-01,"Force-augmented LIPM–MPC for Stable Humanoid Loco-Manipulation","2026 American Control Conference (ACC), New Orleans, LA, USA, IEEE",,"Kim, B., &amp; Oh, P. (2026). &quot;Force-augmented LIPM–MPC for Stable Humanoid Loco-Manipulation.&quot; <i>ACC</i>.",force-augmented-lipm-mpc-humanoid-loco-manipulation,,,conferences
2026-01-01,"A Lightweight AI-Ready Humanoid Leg Platform for Hybrid Control Using Residual RL","2026 IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC), Las Vegas, NV, USA, IEEE",,"Noh, Y., Kim, B., &amp; Oh, P. (2026). &quot;A Lightweight AI-Ready Humanoid Leg Platform for Hybrid Control Using Residual RL.&quot; <i>CCWC</i>.",lightweight-ai-ready-humanoid-leg-platform-residual-rl,,,conferences
2025-07-01,"A Simplified Underactuated Platform for AI-Ready Bipedal Walking Control: The Stilt-bot","2025 American Control Conference (ACC), Denver, CO, USA, IEEE",,"Kim, B., &amp; Oh, P. (2025). &quot;A Simplified Underactuated Platform for AI-Ready Bipedal Walking Control: The Stilt-bot.&quot; <i>ACC</i>. 3782-3787.",simplified-underactuated-platform-stilt-bot,,,conferences
2024-08-01,"Approach of Team Avatar-Hubo to the ANA Avatar XPRIZE Finals","2024 33rd IEEE International Conference on Robot and Human Interactive Communication (RO-MAN), Los Angeles, CA, USA, IEEE",,"Kim, B., Kassai, N., Castrejon, Z., Kosanovic, N., Vaz, J. C., &amp; Oh, P. (2024). &quot;Approach of Team Avatar-Hubo to the ANA Avatar XPRIZE Finals.&quot; <i>RO-MAN</i>.",approach-team-avatar-hubo-ana-avatar-xprize,,,conferences
2024-07-01,"Usability Study of a Human-Robot Tele-Collaboration System for Nuclear Glove Boxes and Isolators","2024 21st International Conference on Ubiquitous Robots (UR), New York, NY, USA, IEEE",,"Kim, B., Kassai, N., &amp; Oh, P. Y. (2024). &quot;Usability Study of a Human-Robot Tele-Collaboration System for Nuclear Glove Boxes and Isolators.&quot; <i>UR</i>. 214-219.",usability-study-human-robot-tele-collaboration-nuclear,,,conferences
2023-12-01,"Real-Time Joint Trajectory Optimization and Predictive Safety Filtering for Telepresence Avatar Robotics","2023 21st International Conference on Advanced Robotics (ICAR), IEEE",,"Vaz, J. C., Kosanovic, N., Kim, B., &amp; Oh, P. Y. (2023). &quot;Real-Time Joint Trajectory Optimization and Predictive Safety Filtering for Telepresence Avatar Robotics.&quot; <i>ICAR</i>. 395-401.",real-time-joint-trajectory-optimization-telepresence-avatar,,,conferences
2022-01-26,"Carved Turn Control with Gate Vision Recognition of a Humanoid Robot for Giant Slalom Skiing on Ski Slopes","Sensors 22(3), 816",,"Park, C., Kim, B., Kim, Y., Eum, Y., Song, H., Yoon, D., Moon, J., &amp; Han, J. (2022). &quot;Carved Turn Control with Gate Vision Recognition of a Humanoid Robot for Giant Slalom Skiing on Ski Slopes.&quot; <i>Sensors</i>. 22(3), 816.",carved-turn-control-gate-vision-recognition-skiing-humanoid,https://doi.org/10.3390/s22030816,,manuscripts
2018-10-01,"Research on Carved Turns of a Skiing Humanoid Robot on a Real-World Slope","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)",,"Han, J., Yoon, D., Song, H., Kim, B., Kim, Y., Park, C., Eum, Y., &amp; Moon, J.-I. (2018). &quot;Research on Carved Turns of a Skiing Humanoid Robot on a Real-World Slope.&quot; <i>IROS</i>. 1-9.",research-carved-turns-skiing-humanoid-robot-iros,https://doi.org/10.1109/IROS.2018.8593796,,conferences
2018-05-01,"A Study on the Analysis and Simulation of Dynamic Mechanism of Ski Robot Running","2018 Conference of Korean Society for Precision Engineering (KSPE)",,"Kim, B., Kim, Y., &amp; Han, J. (2018). &quot;A Study on the Analysis and Simulation of Dynamic Mechanism of Ski Robot Running.&quot; <i>KSPE</i>. 61-61.",analysis-simulation-dynamic-mechanism-ski-robot,,,conferences
2018-05-01,"The Development of the ZMP Control System to Improve the Stability of a Skiing Robot","2018 Conference of Korean Society for Precision Engineering (KSPE)",,"Kim, Y., Park, C., Kim, B., Song, H., &amp; Han, J. (2018). &quot;The Development of the ZMP Control System to Improve the Stability of a Skiing Robot.&quot; <i>KSPE</i>. 73-73.",zmp-control-system-skiing-robot,,,conferences
2018-10-01,"Study on Development of Force Sensor Based on FSR for Ski Robot's ZMP Measurement","Korea Robotics Society Annual Conference (KROC) 2018",,"Kim, Y., Park, C., Kim, B., Song, H., &amp; Han, J. (2018). &quot;Study on Development of Force Sensor Based on FSR for Ski Robot&apos;s ZMP Measurement.&quot; <i>KROC</i>. 150-150.",force-sensor-fsr-ski-robot-zmp,,,conferences
2018-10-01,"Inverse Kinematics Analysis and the Development of the Motion Simulator for Skiing Robot Based on ROS","The 13th Korea Robotics Society Annual Conference",,"Kim, Y., Song, H., Kim, B., Moon, J.-I., &amp; Han, J. (2018). &quot;Inverse Kinematics Analysis and the Development of the Motion Simulator for Skiing Robot Based on ROS.&quot; <i>KRS Annual Conference</i>.",inverse-kinematics-motion-simulator-skiing-robot-ros,,,conferences
2018-10-01,"The Research of the Way to Make an Arrangement of Ultrasonic Sensor to Measure the Distance of Gates on Alpine Ski Tournament","The 13th Korea Robotics Society Annual Conference",,"Park, C., Kim, Y., Kim, B., Yoon, D., &amp; Han, J. (2018). &quot;The Research of the Way to Make an Arrangement of Ultrasonic Sensor to Measure the Distance of Gates on Alpine Ski Tournament.&quot; <i>KRS Annual Conference</i>.",ultrasonic-sensor-arrangement-gates-alpine-ski,,,conferences
2017-06-28,"Communication System of a Segmented Rescue Robot Utilizing Socket Programming and ROS","2017 14th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI)",,"Shin, S., Yoon, D., Song, H., Kim, B., &amp; Han, J. (2017). &quot;Communication System of a Segmented Rescue Robot Utilizing Socket Programming and ROS.&quot; <i>URAI</i>. 565-569.",communication-system-segmented-rescue-robot,,,conferences
2016-10-01,"Research of Human Assistive Robot using Soft Actuator","Korea Robotics Society Annual Conference (KROC) 2016",,"Yang, S., Kim, B., Ahn, J., Ha, D., &amp; Choi, H. (2016). &quot;Research of Human Assistive Robot using Soft Actuator.&quot; <i>KROC</i>.",human-assistive-robot-soft-actuator,,,conferences
